(XEN) flush_counter:27, diff_time:60001, aver_flu_cnt:2699
(XEN) flush_counter:42, diff_time:60006, aver_flu_cnt:4199
(XEN) flush_counter:41, diff_time:60011, aver_flu_cnt:4099
(XEN) flush_counter:43, diff_time:60011, aver_flu_cnt:4299
(XEN) flush_counter:41, diff_time:60011, aver_flu_cnt:4099
(XEN) flush_counter:42, diff_time:60011, aver_flu_cnt:4199
(XEN) flush_counter:547, diff_time:60000, aver_flu_cnt:54700
(XEN) sum_aver_flu_cnt:266483



(XEN) flush_counter:0, diff_time:60010, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:1, diff_time:60011, aver_flu_cnt:99
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:468, diff_time:60011, aver_flu_cnt:46791
(XEN) flush_counter:4, diff_time:60001, aver_flu_cnt:399
(XEN) flush_counter:136, diff_time:60010, aver_flu_cnt:13597
(XEN) flush_counter:61, diff_time:60002, aver_flu_cnt:6099
(XEN) flush_counter:0, diff_time:60006, aver_flu_cnt:0
(XEN) flush_counter:2, diff_time:60002, aver_flu_cnt:199
(XEN) flush_counter:1, diff_time:60011, aver_flu_cnt:99
(XEN) flush_counter:72, diff_time:60000, aver_flu_cnt:7200
(XEN) flush_counter:307, diff_time:60000, aver_flu_cnt:30700
(XEN) flush_counter:94, diff_time:60004, aver_flu_cnt:9399
(XEN) flush_counter:60, diff_time:60006, aver_flu_cnt:5999
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:327, diff_time:60008, aver_flu_cnt:32695
(XEN) flush_counter:274, diff_time:60003, aver_flu_cnt:27398
(XEN) flush_counter:247, diff_time:60000, aver_flu_cnt:24700
(XEN) flush_counter:12, diff_time:60000, aver_flu_cnt:1200
(XEN) flush_counter:204, diff_time:60009, aver_flu_cnt:20396
(XEN) flush_counter:373, diff_time:60002, aver_flu_cnt:37298
(XEN) flush_counter:113, diff_time:60001, aver_flu_cnt:11299
(XEN) flush_counter:772, diff_time:60006, aver_flu_cnt:77192
(XEN) flush_counter:5, diff_time:60003, aver_flu_cnt:499
(XEN) flush_counter:192, diff_time:60011, aver_flu_cnt:19196
(XEN) flush_counter:474, diff_time:60000, aver_flu_cnt:47400
(XEN) flush_counter:5, diff_time:60001, aver_flu_cnt:499
(XEN) flush_counter:470, diff_time:60009, aver_flu_cnt:46992
(XEN) flush_counter:4, diff_time:60000, aver_flu_cnt:400
(XEN) flush_counter:8, diff_time:60005, aver_flu_cnt:799
(XEN) flush_counter:355, diff_time:60006, aver_flu_cnt:35496
(XEN) flush_counter:1144, diff_time:60000, aver_flu_cnt:114400
(XEN) flush_counter:1761, diff_time:60000, aver_flu_cnt:176100
(XEN) flush_counter:1657, diff_time:60000, aver_flu_cnt:165700
(XEN) flush_counter:1185, diff_time:60000, aver_flu_cnt:118500
(XEN) flush_counter:28250, diff_time:60000, aver_flu_cnt:2825000
(XEN) flush_counter:8882, diff_time:60011, aver_flu_cnt:888037
(XEN) flush_counter:6041, diff_time:60011, aver_flu_cnt:603989
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60008, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:296, diff_time:60000, aver_flu_cnt:29600
(XEN) flush_counter:51, diff_time:60004, aver_flu_cnt:5099
(XEN) flush_counter:0, diff_time:60007, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60005, aver_flu_cnt:0
(XEN) flush_counter:51, diff_time:60006, aver_flu_cnt:5099
(XEN) flush_counter:0, diff_time:60007, aver_flu_cnt:0
(XEN) flush_counter:52, diff_time:60004, aver_flu_cnt:5199
(XEN) sum_aver_flu_cnt:213927


(XEN) flush_counter:50, diff_time:60005, aver_flu_cnt:4999
(XEN) flush_counter:479, diff_time:60004, aver_flu_cnt:47896
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:4, diff_time:60005, aver_flu_cnt:399
(XEN) flush_counter:43, diff_time:60000, aver_flu_cnt:4300
(XEN) flush_counter:0, diff_time:60008, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60008, aver_flu_cnt:0
(XEN) flush_counter:380, diff_time:60011, aver_flu_cnt:37993
(XEN) flush_counter:0, diff_time:60005, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60005, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60005, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60006, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60011, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60009, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:290, diff_time:60009, aver_flu_cnt:28995
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60011, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60011, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60011, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60011, aver_flu_cnt:0
(XEN) flush_counter:422, diff_time:60006, aver_flu_cnt:42195
(XEN) flush_counter:316, diff_time:60005, aver_flu_cnt:31597
(XEN) flush_counter:54, diff_time:60011, aver_flu_cnt:5399
(XEN) flush_counter:92, diff_time:60006, aver_flu_cnt:9199
(XEN) flush_counter:54, diff_time:60005, aver_flu_cnt:5399
(XEN) flush_counter:37, diff_time:60007, aver_flu_cnt:3699
(XEN) flush_counter:42, diff_time:60003, aver_flu_cnt:4199
(XEN) flush_counter:42, diff_time:60001, aver_flu_cnt:4199
(XEN) flush_counter:41, diff_time:60010, aver_flu_cnt:4099
(XEN) flush_counter:42, diff_time:60011, aver_flu_cnt:4199
(XEN) flush_counter:39, diff_time:60003, aver_flu_cnt:3899
(XEN) flush_counter:520, diff_time:60003, aver_flu_cnt:51997
(XEN) flush_counter:1, diff_time:60005, aver_flu_cnt:99
(XEN) flush_counter:0, diff_time:60011, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60006, aver_flu_cnt:0
(XEN) flush_counter:468, diff_time:60002, aver_flu_cnt:46798
(XEN) flush_counter:16, diff_time:60002, aver_flu_cnt:1599
(XEN) flush_counter:125, diff_time:60009, aver_flu_cnt:12498
(XEN) flush_counter:54, diff_time:60011, aver_flu_cnt:5399
(XEN) flush_counter:0, diff_time:60010, aver_flu_cnt:0
(XEN) flush_counter:2, diff_time:60001, aver_flu_cnt:199
(XEN) flush_counter:70, diff_time:60011, aver_flu_cnt:6998
(XEN) sum_aver_flu_cnt:162286


(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:364, diff_time:60000, aver_flu_cnt:36400
(XEN) flush_counter:87, diff_time:60006, aver_flu_cnt:8699
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:543, diff_time:60008, aver_flu_cnt:54292
(XEN) flush_counter:12, diff_time:60002, aver_flu_cnt:1199
(XEN) flush_counter:11, diff_time:60000, aver_flu_cnt:1100
(XEN) flush_counter:109, diff_time:60001, aver_flu_cnt:10899
(XEN) flush_counter:384, diff_time:60000, aver_flu_cnt:38400
(XEN) flush_counter:106, diff_time:60010, aver_flu_cnt:10598
(XEN) flush_counter:849, diff_time:60011, aver_flu_cnt:84884
(XEN) flush_counter:10, diff_time:60008, aver_flu_cnt:999
(XEN) flush_counter:98, diff_time:60003, aver_flu_cnt:9799
(XEN) flush_counter:98, diff_time:60000, aver_flu_cnt:9800
(XEN) flush_counter:469, diff_time:60011, aver_flu_cnt:46891
(XEN) flush_counter:4, diff_time:60011, aver_flu_cnt:399
(XEN) flush_counter:468, diff_time:60000, aver_flu_cnt:46800
(XEN) flush_counter:468, diff_time:60000, aver_flu_cnt:46800
(XEN) flush_counter:5, diff_time:60011, aver_flu_cnt:499
(XEN) flush_counter:347, diff_time:60011, aver_flu_cnt:34693
(XEN) flush_counter:7, diff_time:60014, aver_flu_cnt:699
(XEN) flush_counter:1161, diff_time:60007, aver_flu_cnt:116086
(XEN) flush_counter:23395, diff_time:60000, aver_flu_cnt:2339500
(XEN) flush_counter:41590, diff_time:60002, aver_flu_cnt:4158861
(XEN) flush_counter:1677, diff_time:60004, aver_flu_cnt:167688
(XEN) flush_counter:36159, diff_time:60001, aver_flu_cnt:3615839
(XEN) flush_counter:23678, diff_time:60003, aver_flu_cnt:2367681
(XEN) flush_counter:1080, diff_time:60002, aver_flu_cnt:107996
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60007, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:297, diff_time:60008, aver_flu_cnt:29696
(XEN) flush_counter:50, diff_time:60003, aver_flu_cnt:4999
(XEN) flush_counter:0, diff_time:60004, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:51, diff_time:60004, aver_flu_cnt:5099
(XEN) flush_counter:51, diff_time:60000, aver_flu_cnt:5100
(XEN) flush_counter:102, diff_time:60006, aver_flu_cnt:10198
(XEN) flush_counter:0, diff_time:60005, aver_flu_cnt:0
(XEN) flush_counter:453, diff_time:60003, aver_flu_cnt:45297
(XEN) flush_counter:30, diff_time:60000, aver_flu_cnt:3000
(XEN) flush_counter:43, diff_time:60001, aver_flu_cnt:4299
(XEN) flush_counter:1, diff_time:60003, aver_flu_cnt:99
(XEN) flush_counter:0, diff_time:60006, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60005, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60006, aver_flu_cnt:0
(XEN) flush_counter:375, diff_time:60000, aver_flu_cnt:37500


(XEN) flush_counter:0, diff_time:60005, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60004, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60007, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60004, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60008, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:292, diff_time:60000, aver_flu_cnt:29200
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60008, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60004, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:699, diff_time:60006, aver_flu_cnt:69893
(XEN) flush_counter:8, diff_time:60003, aver_flu_cnt:799
(XEN) flush_counter:50, diff_time:60002, aver_flu_cnt:4999
(XEN) flush_counter:105, diff_time:60001, aver_flu_cnt:10499
(XEN) flush_counter:27, diff_time:60007, aver_flu_cnt:2699
(XEN) flush_counter:69, diff_time:60002, aver_flu_cnt:6899
(XEN) flush_counter:41, diff_time:60004, aver_flu_cnt:4099
(XEN) flush_counter:42, diff_time:60006, aver_flu_cnt:4199
(XEN) flush_counter:43, diff_time:60001, aver_flu_cnt:4299
(XEN) flush_counter:40, diff_time:60003, aver_flu_cnt:3999
(XEN) flush_counter:544, diff_time:60000, aver_flu_cnt:54400
(XEN) flush_counter:6, diff_time:60007, aver_flu_cnt:599
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60009, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:1, diff_time:60002, aver_flu_cnt:99
(XEN) flush_counter:473, diff_time:60005, aver_flu_cnt:47296
(XEN) flush_counter:142, diff_time:60003, aver_flu_cnt:14199
(XEN) flush_counter:62, diff_time:60002, aver_flu_cnt:6199
(XEN) flush_counter:0, diff_time:60007, aver_flu_cnt:0
(XEN) flush_counter:1, diff_time:60002, aver_flu_cnt:99
(XEN) flush_counter:1, diff_time:60004, aver_flu_cnt:99
(XEN) flush_counter:72, diff_time:60007, aver_flu_cnt:7199
(XEN) flush_counter:0, diff_time:60008, aver_flu_cnt:0
(XEN) flush_counter:391, diff_time:60000, aver_flu_cnt:39100
(XEN) flush_counter:65, diff_time:60002, aver_flu_cnt:6499
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:87, diff_time:60004, aver_flu_cnt:8699
(XEN) flush_counter:1393, diff_time:60000, aver_flu_cnt:139300
(XEN) flush_counter:0, diff_time:60006, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60006, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:54, diff_time:60007, aver_flu_cnt:5399



(XEN) flush_counter:0, diff_time:60007, aver_flu_cnt:0
