(XEN) flush_counter:1, diff_time:60000, aver_flu_cnt:100
(XEN) pte_op_hypercall
(XEN) flush_counter:1, diff_time:60003, aver_flu_cnt:99
(XEN) flush_counter:0, diff_time:60011, aver_flu_cnt:0
(XEN) flush_counter:111, diff_time:60011, aver_flu_cnt:11097
(XEN) flush_counter:2, diff_time:60000, aver_flu_cnt:200
(XEN) pte_op_hypercall
(XEN) flush_counter:111, diff_time:60007, aver_flu_cnt:11098
(XEN) flush_counter:1, diff_time:60004, aver_flu_cnt:99
(XEN) pte_op_hypercall
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60006, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) pte_op_hypercall
(XEN) flush_counter:78, diff_time:60011, aver_flu_cnt:7798
(XEN) pte_op_hypercall
(XEN) flush_counter:117, diff_time:60011, aver_flu_cnt:11697
(XEN) flush_counter:121, diff_time:60011, aver_flu_cnt:12097
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60008, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) pte_op_hypercall
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60004, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60005, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60008, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60011, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60011, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60008, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60011, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60010, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60005, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60006, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60011, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60008, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60005, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60006, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60006, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60005, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60006, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60005, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60011, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60007, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60006, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60010, aver_flu_cnt:0
(XEN) sum_aver_flu_cnt:77898
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60007, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60011, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60011, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60011, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60011, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60016, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60007, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60011, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60012, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60010, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60011, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60009, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60008, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60011, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60014, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60006, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60005, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60011, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60008, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:114, diff_time:60001, aver_flu_cnt:11399
(XEN) flush_counter:1, diff_time:60006, aver_flu_cnt:99
(XEN) pte_op_hypercall
(XEN) flush_counter:0, diff_time:60005, aver_flu_cnt:0
(XEN) flush_counter:111, diff_time:60003, aver_flu_cnt:11099
(XEN) flush_counter:1, diff_time:60008, aver_flu_cnt:99
(XEN) pte_op_hypercall
(XEN) flush_counter:110, diff_time:60011, aver_flu_cnt:10997
(XEN) flush_counter:1, diff_time:60011, aver_flu_cnt:99
(XEN) flush_counter:1, diff_time:60003, aver_flu_cnt:99
(XEN) pte_op_hypercall
(XEN) flush_counter:0, diff_time:60008, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60011, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60011, aver_flu_cnt:0
(XEN) pte_op_hypercall
(XEN) flush_counter:76, diff_time:60000, aver_flu_cnt:7600
(XEN) flush_counter:32, diff_time:60005, aver_flu_cnt:3199
(XEN) pte_op_hypercall
(XEN) flush_counter:207, diff_time:60006, aver_flu_cnt:20697
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60009, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) pte_op_hypercall
(XEN) flush_counter:0, diff_time:60007, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60004, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60009, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60008, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) sum_aver_flu_cnt:58696
(XEN) flush_counter:0, diff_time:60010, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60011, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60011, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60008, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60011, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60011, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60011, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60007, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60010, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60009, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60011, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60006, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60004, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60009, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60011, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60011, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60009, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60009, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60010, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60005, aver_flu_cnt:0
