valid,1

"Full Results Table"

Benchmark,"Base Ref Time","Base Run Time","Base Ratio","Base Selected","Base Status","Peak Ref Time","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
400.perlbench,9770,365.951298,26.697542,1,S,,,,,,"ref iteration #1"
400.perlbench,9770,365.871192,26.703387,0,S,,,,,,"ref iteration #2"
400.perlbench,9770,366.33549,26.669543,0,S,,,,,,"ref iteration #3"
401.bzip2,9650,563.769103,17.116937,0,S,,,,,,"ref iteration #1"
401.bzip2,9650,567.875733,16.993154,0,S,,,,,,"ref iteration #2"
401.bzip2,9650,565.897564,17.052556,1,S,,,,,,"ref iteration #3"
403.gcc,8050,367.249786,21.919686,0,S,,,,,,"ref iteration #1"
403.gcc,8050,366.67954,21.953775,1,S,,,,,,"ref iteration #2"
403.gcc,8050,366.640293,21.956125,0,S,,,,,,"ref iteration #3"
429.mcf,9120,287.229662,31.751595,0,S,,,,,,"ref iteration #1"
429.mcf,9120,283.143537,32.209812,0,S,,,,,,"ref iteration #2"
429.mcf,9120,284.00184,32.112468,1,S,,,,,,"ref iteration #3"
445.gobmk,10490,487.873054,21.501495,1,S,,,,,,"ref iteration #1"
445.gobmk,10490,487.702208,21.509027,0,S,,,,,,"ref iteration #2"
445.gobmk,10490,488.027153,21.494706,0,S,,,,,,"ref iteration #3"
456.hmmer,9330,459.027756,20.325568,1,S,,,,,,"ref iteration #1"
456.hmmer,9330,459.365143,20.31064,0,S,,,,,,"ref iteration #2"
456.hmmer,9330,458.981998,20.327595,0,S,,,,,,"ref iteration #3"
458.sjeng,12100,569.18173,21.258588,0,S,,,,,,"ref iteration #1"
458.sjeng,12100,568.795558,21.273021,1,S,,,,,,"ref iteration #2"
458.sjeng,12100,568.514109,21.283553,0,S,,,,,,"ref iteration #3"
462.libquantum,20720,547.587267,37.838718,1,S,,,,,,"ref iteration #1"
462.libquantum,20720,548.545211,37.772639,0,S,,,,,,"ref iteration #2"
462.libquantum,20720,542.888643,38.166206,0,S,,,,,,"ref iteration #3"
464.h264ref,22130,602.700862,36.718049,1,S,,,,,,"ref iteration #1"
464.h264ref,22130,602.401896,36.736272,0,S,,,,,,"ref iteration #2"
464.h264ref,22130,602.819374,36.710831,0,S,,,,,,"ref iteration #3"
471.omnetpp,6250,296.324986,21.091708,0,S,,,,,,"ref iteration #1"
471.omnetpp,6250,297.790052,20.987941,0,S,,,,,,"ref iteration #2"
471.omnetpp,6250,297.59091,21.001986,1,S,,,,,,"ref iteration #3"
473.astar,7020,479.310419,14.646041,0,S,,,,,,"ref iteration #1"
473.astar,7020,478.100654,14.683101,1,S,,,,,,"ref iteration #2"
473.astar,7020,476.934566,14.719,0,S,,,,,,"ref iteration #3"
483.xalancbmk,6900,239.573811,28.801145,1,S,,,,,,"ref iteration #1"
483.xalancbmk,6900,240.757245,28.659574,0,S,,,,,,"ref iteration #2"
483.xalancbmk,6900,238.803563,28.894041,0,S,,,,,,"ref iteration #3"

"Selected Results Table"

Benchmark,"Base Ref Time","Base Run Time","Base Ratio","Base Selected","Base Status","Peak Ref Time","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
400.perlbench,9770,365.951298,26.697542,1,S,,,,,NR,"SelectedIteration (base #1)"
401.bzip2,9650,565.897564,17.052556,1,S,,,,,NR,"SelectedIteration (base #3)"
403.gcc,8050,366.67954,21.953775,1,S,,,,,NR,"SelectedIteration (base #2)"
429.mcf,9120,284.00184,32.112468,1,S,,,,,NR,"SelectedIteration (base #3)"
445.gobmk,10490,487.873054,21.501495,1,S,,,,,NR,"SelectedIteration (base #1)"
456.hmmer,9330,459.027756,20.325568,1,S,,,,,NR,"SelectedIteration (base #1)"
