valid,1

"Full Results Table"

Benchmark,"Base Ref Time","Base Run Time","Base Ratio","Base Selected","Base Status","Peak Ref Time","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
400.perlbench,9770,359.766809,27.15648,0,S,,,,,,"ref iteration #1"
400.perlbench,9770,358.726027,27.235269,0,S,,,,,,"ref iteration #2"
400.perlbench,9770,359.296255,27.192045,1,S,,,,,,"ref iteration #3"
401.bzip2,9650,554.987823,17.387769,0,S,,,,,,"ref iteration #1"
401.bzip2,9650,555.390897,17.37515,1,S,,,,,,"ref iteration #2"
401.bzip2,9650,555.960651,17.357344,0,S,,,,,,"ref iteration #3"
403.gcc,8050,361.767986,22.251831,1,S,,,,,,"ref iteration #1"
403.gcc,8050,360.962687,22.301474,0,S,,,,,,"ref iteration #2"
403.gcc,8050,363.716011,22.132652,0,S,,,,,,"ref iteration #3"
429.mcf,9120,277.384491,32.878551,1,S,,,,,,"ref iteration #1"
429.mcf,9120,275.528324,33.100045,0,S,,,,,,"ref iteration #2"
429.mcf,9120,278.133596,32.789998,0,S,,,,,,"ref iteration #3"
445.gobmk,10490,483.300361,21.704929,0,S,,,,,,"ref iteration #1"
445.gobmk,10490,483.805484,21.682268,0,S,,,,,,"ref iteration #2"
445.gobmk,10490,483.410447,21.699986,1,S,,,,,,"ref iteration #3"
456.hmmer,9330,458.051095,20.368907,0,S,,,,,,"ref iteration #1"
456.hmmer,9330,459.926066,20.285869,0,S,,,,,,"ref iteration #2"
456.hmmer,9330,459.483696,20.305399,1,S,,,,,,"ref iteration #3"
458.sjeng,12100,563.658855,21.466885,0,S,,,,,,"ref iteration #1"
458.sjeng,12100,563.677064,21.466192,1,S,,,,,,"ref iteration #2"
458.sjeng,12100,563.742824,21.463688,0,S,,,,,,"ref iteration #3"
462.libquantum,20720,531.09726,39.01357,1,S,,,,,,"ref iteration #1"
462.libquantum,20720,530.586718,39.051109,0,S,,,,,,"ref iteration #2"
462.libquantum,20720,531.25364,39.002086,0,S,,,,,,"ref iteration #3"
464.h264ref,22130,600.39847,36.858855,1,S,,,,,,"ref iteration #1"
464.h264ref,22130,600.872766,36.82976,0,S,,,,,,"ref iteration #2"
464.h264ref,22130,600.22464,36.869529,0,S,,,,,,"ref iteration #3"
471.omnetpp,6250,293.484427,21.295849,0,S,,,,,,"ref iteration #1"
471.omnetpp,6250,298.880566,20.911363,0,S,,,,,,"ref iteration #2"
471.omnetpp,6250,296.77203,21.059936,1,S,,,,,,"ref iteration #3"
473.astar,7020,472.923632,14.843834,0,S,,,,,,"ref iteration #1"
473.astar,7020,468.13103,14.995801,0,S,,,,,,"ref iteration #2"
473.astar,7020,472.650103,14.852425,1,S,,,,,,"ref iteration #3"
483.xalancbmk,6900,228.175289,30.239909,1,S,,,,,,"ref iteration #1"
483.xalancbmk,6900,232.449113,29.683916,0,S,,,,,,"ref iteration #2"
483.xalancbmk,6900,226.843573,30.417437,0,S,,,,,,"ref iteration #3"

"Selected Results Table"

Benchmark,"Base Ref Time","Base Run Time","Base Ratio","Base Selected","Base Status","Peak Ref Time","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
400.perlbench,9770,359.296255,27.192045,1,S,,,,,NR,"SelectedIteration (base #3)"
401.bzip2,9650,555.390897,17.37515,1,S,,,,,NR,"SelectedIteration (base #2)"
403.gcc,8050,361.767986,22.251831,1,S,,,,,NR,"SelectedIteration (base #1)"
429.mcf,9120,277.384491,32.878551,1,S,,,,,NR,"SelectedIteration (base #1)"
445.gobmk,10490,483.410447,21.699986,1,S,,,,,NR,"SelectedIteration (base #3)"
456.hmmer,9330,459.483696,20.305399,1,S,,,,,NR,"SelectedIteration (base #3)"
458.sjeng,12100,563.677064,21.466192,1,S,,,,,NR,"SelectedIteration (base #2)"
462.libquantum,20720,531.09726,39.01357,1,S,,,,,NR,"SelectedIteration (base #1)"
464.h264ref,22130,600.39847,36.858855,1,S,,,,,NR,"SelectedIteration (base #1)"
471.omnetpp,6250,296.77203,21.059936,1,S,,,,,NR,"SelectedIteration (base #3)"
473.astar,7020,472.650103,14.852425,1,S,,,,,NR,"SelectedIteration (base #3)"
483.xalancbmk,6900,228.175289,30.239909,1,S,,,,,NR,"SelectedIteration (base #1)"

SPECint_base2006,24.397141,,24.397141
SPECint2006,"Not Run",,,,,,,"Not Run"

"Run number:",001

"Hardware Vendor:","System Vendor"
"Hardware Model:","System Model Name"
"Date tested:",Nov-2014
"CPU2006 License:",0
"Test sponsor:","Test Sponsor (Optional, defaults to hw_vendor)"
"Tested by:","(Optional, defaults to hw_vendor)"
"Hardware avail:",Dec-9999
"Software avail:",May-2010


HARDWARE

"CPU Name","Intel Core i5-3470"
"CPU Characteristics"," "
"CPU MHz",9999
FPU,Integrated
"CPU(s) enabled","9999 cores, 1 chip, 9999 cores/chip"
"CPU(s) orderable","1,2 chips"
"Primary Cache","9999 KB I + 9999 KB D on chip per core"
"Secondary Cache","9999 KB I+D on chip per core"
"L3 Cache","9999 MB I+D on chip per chip"
"Other Cache",None
Memory,"3.341 GB fixme: If using DDR3, format is:"
,"'N GB (M x N GB nRxn PCn-nnnnnR-n, ECC)'"
"Disk Subsystem","53 GB  add more disk info here"
"Other Hardware",None

SOFTWARE

"Operating System","Ubuntu 12.04.5 LTS"
,3.2.0-rc1
Compiler,"gcc, g++ & gfortran 4.3.4"
"Auto Parallel",No
"File System",ext4
