(XEN) flush_counter:9165, diff_time:60000, aver_flu_cnt:916500
(XEN) flush_counter:8693, diff_time:60001, aver_flu_cnt:869285
(XEN) flush_counter:9389, diff_time:60002, aver_flu_cnt:938868
(XEN) flush_counter:8880, diff_time:60000, aver_flu_cnt:888000
(XEN) flush_counter:9306, diff_time:60000, aver_flu_cnt:930600
(XEN) flush_counter:9110, diff_time:60003, aver_flu_cnt:910954
(XEN) flush_counter:8649, diff_time:60000, aver_flu_cnt:864900
(XEN) flush_counter:9234, diff_time:60000, aver_flu_cnt:923400
(XEN) flush_counter:8689, diff_time:60001, aver_flu_cnt:868885
(XEN) sum_aver_flu_cnt:902219
(XEN) flush_counter:9364, diff_time:60000, aver_flu_cnt:936400
(XEN) flush_counter:8924, diff_time:60004, aver_flu_cnt:892340
(XEN) flush_counter:8979, diff_time:60000, aver_flu_cnt:897900
(XEN) flush_counter:9276, diff_time:60000, aver_flu_cnt:927600
(XEN) flush_counter:8637, diff_time:60004, aver_flu_cnt:863642
(XEN) flush_counter:9287, diff_time:60003, aver_flu_cnt:928653
(XEN) flush_counter:8643, diff_time:60005, aver_flu_cnt:864227
(XEN) flush_counter:9332, diff_time:60000, aver_flu_cnt:933200
(XEN) flush_counter:9357, diff_time:60006, aver_flu_cnt:935606
(XEN) flush_counter:8711, diff_time:60000, aver_flu_cnt:871100
(XEN) flush_counter:9301, diff_time:60000, aver_flu_cnt:930100
(XEN) flush_counter:8658, diff_time:60005, aver_flu_cnt:865727
(XEN) flush_counter:9142, diff_time:60000, aver_flu_cnt:914200
(XEN) flush_counter:8986, diff_time:60000, aver_flu_cnt:898600
(XEN) flush_counter:8661, diff_time:60003, aver_flu_cnt:866056
(XEN) flush_counter:9398, diff_time:60004, aver_flu_cnt:939737
(XEN) flush_counter:8697, diff_time:60007, aver_flu_cnt:869598
(XEN) flush_counter:9297, diff_time:60000, aver_flu_cnt:929700
(XEN) flush_counter:9145, diff_time:60001, aver_flu_cnt:914484
(XEN) flush_counter:8753, diff_time:60000, aver_flu_cnt:875300
(XEN) flush_counter:9133, diff_time:60000, aver_flu_cnt:913300
(XEN) flush_counter:8741, diff_time:60000, aver_flu_cnt:874100
(XEN) flush_counter:9341, diff_time:60002, aver_flu_cnt:934068
(XEN) flush_counter:9202, diff_time:60009, aver_flu_cnt:920061
(XEN) flush_counter:8803, diff_time:60000, aver_flu_cnt:880300
(XEN) flush_counter:9119, diff_time:60008, aver_flu_cnt:911778
(XEN) flush_counter:8738, diff_time:60000, aver_flu_cnt:873800
(XEN) flush_counter:8974, diff_time:60005, aver_flu_cnt:897325
(XEN) flush_counter:8988, diff_time:60002, aver_flu_cnt:898770
